"","id","name"
"625","b0621","dcuC"
"626","b4071","nrfB"
"627","b3568","xylH"
"628","b3578","yiaN"
"629","b2417","crr"
"630","b3579","yiaO"
"631","b4073","nrfD"
"632","b2429","murP"
"633","b4072","nrfC"
"634","b3577","yiaM"
"635","b2422","cysA"
"636","b3089","sstT"
"637","b4070","nrfA"
"638","b2425","cysP"
"639","b0763","modA"
"640","b3917","sbp"
"641","b3679","yidK"
"642","b2153","folE"
"643","b0764","modB"
"644","b0935","ssuD"
"645","b2423","cysW"
"646","b0153","fhuB"
"647","b0765","modC"
"648","b0152","fhuD"
"649","b2424","cysU"
"650","b0151","fhuC"
"651","b0110","ampD"
"652","b3063","ttdT"
"653","b1463","nhoA"
"654","b1711","btuC"
"655","b1709","btuD"
"656","b2913","serA"
"657","b0158","btuF"
"658","b2223","atoE"
"659","b4219","msrA"
"660","b0367","tauC"
"661","b1832","msrC"
"662","b0365","tauA"
"663","b1101","ptsG"
"664","b0366","tauB"
"665","b0679","nagE"
"666","b2393","nupC"
"667","b1818","manY"
"668","b1817","manX"
"669","b1778","msrB"
"670","b2964","nupG"
"671","b2871","ygeX"
"672","b1819","manZ"
"673","b3224","nanT"
"674","b3849","trkH"
"675","b0932","pepN"
"676","b3747","kup"
"677","b0311","betA"
"678","b3290","trkA"
"679","b4381","deoC"
"680","b2523","pepB"
"681","b1291","sapD"
"682","b0590","fepD"
"683","b0588","fepC"
"684","b4260","pepA"
"685","b1363","trkG"
"686","b0237","pepD"
"687","b0592","fepB"
"688","b0589","fepG"
"689","b1250","kch"
"690","b2841","araE"
"691","b2132","bglX"
"692","b2587","kgtP"
"693","b2239","glpQ"
"694","b4031","xylE"
"695","b4169","amiB"
"696","b2435","amiA"
"697","b2308","hisQ"
"698","b2310","argT"
"699","b0068","thiB"
"700","b0862","artQ"
"701","b0067","thiP"
"702","b0863","artI"
"703","b2817","amiC"
"704","b0066","thiQ"
"705","b0864","artP"
"706","b0867","amiD"
"707","b2406","xapB"
"708","b1654","grxD"
"709","b0860","artJ"
"710","b3460","livJ"
"711","b2306","hisP"
"712","b0861","artM"
"713","b2307","hisM"
"714","b3610","grxC"
"715","b3456","livM"
"716","b2675","nrdE"
"717","b3455","livG"
"718","b2676","nrdF"
"719","b4115","adiC"
"720","b3454","livF"
"721","b4193","ulaA"
"722","b0849","grxA"
"723","b3457","livH"
"724","b4194","ulaB"
"725","b4195","ulaC"
"726","b4240","treB"
"727","b1064","grxB"
"728","b3161","mtr"
"729","b1453","ansP"
"730","b0112","aroP"
"731","b0653","gltK"
"732","b3336","bfr"
"733","b3805","hemC"
"734","b0123","cueO"
"735","b1192","ldcA"
"736","b0655","gltI"
"737","b3904","rhaB"
"738","b0654","gltJ"
"739","b2482","hyfB"
"740","b0652","gltL"
"741","b4077","gltP"
"742","b1270","btuR"
"743","b2484","hyfD"
"744","b4055","aphA"
"745","b0480","ushA"
"746","b2180","yejF"
"747","b2179","yejE"
"748","b2488","hyfH"
"749","b1246","oppD"
"750","b1243","oppA"
"751","b2789","gudP"
"752","b3127","garP"
"753","b2723","hycC"
"754","b1244","oppB"
"755","b2485","hyfE"
"756","b1247","oppF"
"757","b2483","hyfC"
"758","b2177","yejA"
"759","b2943","galP"
"760","b2724","hycB"
"761","b2663","gabP"
"762","b2178","yejB"
"763","b2721","hycE"
"764","b2490","hyfJ"
"765","b2719","hycG"
"766","b1329","mppA"
"767","b1917","yecC"
"768","b1245","oppC"
"769","b4079","fdhF"
"770","b1920","fliY"
"771","b2481","hyfA"
"772","b1918","yecS"
"773","b0433","ampG"
"774","b2486","hyfF"
"775","b2703","srlE"
"776","b2722","hycD"
"777","b2702","srlA"
"778","b4367","fhuF"
"779","b2720","hycF"
"780","b2704","srlB"
"781","b2487","hyfG"
"782","b1197","treA"
"783","b0574","cusB"
"784","b2489","hyfI"
"785","b2747","ispD"
"786","b0573","cusF"
"787","b4515","cydX"
"788","b3213","gltD"
"789","b0733","cydA"
"790","b0575","cusA"
"791","b0572","cusC"
"792","b1761","gdhA"
"793","b3212","gltB"
"794","b3915","fieF"
"795","b0978","cbdA"
"796","b0186","ldcC"
"797","b0734","cydB"
"798","b0752","zitB"
"799","b4131","cadA"
"800","b0979","cbdB"
"801","b1189","dadA"
"802","b3739","atpI"
"803","b1858","znuC"
"804","b2888","uacT"
"805","b1859","znuB"
"806","b1857","znuA"
"807","b3731","atpC"
"808","b3736","atpF"
"809","b2882","xanQ"
"810","b3732","atpD"
"811","b3453","ugpB"
"812","b3738","atpB"
"813","b3733","atpG"
"814","b1981","shiA"
"815","b3450","ugpC"
"816","b2392","mntH"
"817","b3737","atpE"
"818","b3451","ugpE"
"819","b3735","atpH"
"820","b3452","ugpA"
"821","b3734","atpA"
"822","b2536","hcaT"
"823","b4067","actP"
"824","b0452","tesB"
"825","b0212","gloB"
"826","b1927","amyA"
"827","b3779","gpp"
"828","b3571","malS"
"829","b3654","xanP"
"830","b2868","xdhC"
"831","b3714","adeP"
"832","b3650","spoT"
"833","b2867","xdhB"
"834","b2344","fadL"
"835","b3664","adeQ"
"836","b2866","xdhA"
"837","b4213","cpdB"
"838","b4311","nanC"
"839","b1059","solA"
"840","b4088","alsB"
"841","b1991","cobT"
"842","b4087","alsA"
"843","b3502","arsB"
"844","b4086","alsC"
"845","b0511","ybbW"
"846","b1900","araG"
"847","b1727","yniC"
"848","b3580","lyxK"
"849","b1444","patD"
"850","b2051","wcaH"
"851","b4460","araH"
"852","b1901","araF"
"853","b4265","idnT"
"854","b2927","epd"
"855","b2023","hisH"
"856","b0837","yliI"
"857","b2025","hisF"
"858","b3266","acrF"
"859","b3640","dut"
"860","b3265","acrE"
"861","b0124","gcd"
"862","b0425","panE"
"863","b3907","rhaT"
"864","b3772","ilvA"
"865","b4242","mgtA"
"866","b4064","ghxP"
"867","b0931","pncB"
"868","b4464","ghxQ"
"869","b1764","selD"
"870","b0974","hyaC"
"871","b3479","nikD"
"872","b2150","mglB"
"873","b3477","nikB"
"874","b3476","nikA"
"875","b2149","mglA"
"876","b3480","nikE"
"877","b3478","nikC"
"878","b2997","hybO"
"879","b0973","hyaB"
"880","b2148","mglC"
"881","b2995","hybB"
"882","b1640","anmK"
"883","b2994","hybC"
"884","b4094","phnN"
"885","b0048","folA"
"886","b4513","kdpF"
"887","b0972","hyaA"
"888","b2996","hybA"
"889","b1606","folM"
"890","b0696","kdpC"
"891","b3390","aroK"
"892","b0698","kdpA"
"893","b0697","kdpB"
"894","b4287","fecE"
"895","b0388","aroL"
"896","b4289","fecC"
"897","b3458","livK"
"898","b1745","astB"
"899","b2975","glcA"
"900","b4288","fecD"
"901","b0114","aceE"
"902","b4290","fecB"
"903","b1252","tonB"
"904","b3603","lldP"
"905","b0115","aceF"
"906","b3128","garD"
"907","b3006","exbB"
"908","b2255","arnA"
"909","b3005","exbD"
"910","b1102","fhuE"
"911","b4034","malE"
"912","b4035","malK"
"913","b0774","bioA"
"914","b4032","malG"
"915","b4033","malF"
"916","b2315","folC"
"917","b1605","ydgI"
"918","b0612","citT"
"919","b3666","uhpT"
"920","b0040","caiT"
"921","b2818","argA"
"922","b0731","mngA"
"923","b1489","dosP"
"924","b0343","lacY"
"925","b4120","melB"
"926","b2130","yehY"
"927","b2131","osmF"
"928","b2128","yehW"
"929","b3032","cpdA"
"930","b0197","metQ"
"931","b0199","metN"
"932","b0334","prpD"
"933","b0198","metI"
"934","b2129","yehX"
"935","b0092","ddlB"
"936","b0381","ddlA"
"937","b3409","feoB"
"938","b1297","puuA"
"939","b1738","chbB"
"940","b2933","cmtA"
"941","b2169","fruB"
"942","b2715","ascF"
"943","b2167","fruA"
"944","b1736","chbA"
"945","b2801","fucP"
"946","b3599","mtlA"
"947","b2934","cmtB"
"948","b0584","fepA"
"949","b1737","chbC"
"950","b0336","codB"
"951","b2224","atoB"
"952","b0341","cynX"
"953","b1216","chaA"
"954","b3909","kdgT"
"955","b1186","nhaB"
"956","b0842","mdfA"
"957","b0019","nhaA"
"958","b0451","amtB"
"959","b4036","lamB"
"960","b4291","fecA"
"961","b3350","kefB"
"962","b0751","pnuC"
"963","b1223","narK"
"964","b0047","kefC"
"965","b3367","nirC"
"966","b1119","nagK"
"967","b0728","sucC"
"968","b3829","metE"
"969","b1469","narU"
"970","b0729","sucD"
"971","b3726","pstA"
"972","b4019","metH"
"973","b0650","hscC"
"974","b0886","cydC"
"975","b3728","pstS"
"976","b3727","pstC"
"977","b0757","galK"
"978","b3725","pstB"
"979","b0887","cydD"
"980","b0133","panC"
"981","b2476","purC"
"982","b3258","panF"
"983","b2165","psuG"
"984","b3371","frlB"
"985","b2679","proX"
"986","b0509","glxR"
"987","b3125","garR"
"988","b3389","aroB"
"989","b2501","ppk"
"990","b2677","proV"
"991","b2678","proW"
"992","b2366","dsdA"
"993","b3941","metF"
"994","b2574","nadB"
"995","b0402","proY"
"996","b1015","putP"
"997","b1723","pfkB"
"998","b3177","folP"
"999","b0755","gpmA"
"1000","b0855","potG"
"1001","b3612","gpmM"
"1002","b1123","potD"
"1003","b0529","folD"
"1004","b3919","tpiA"
"1005","b4132","cadB"
"1006","b0856","potH"
