GeneName	 Accession-1	 Left-End-Position	 Right-End-Position	Product	Map to Escherichia coli CFT073
EG10262	b0583	609459	610079	ENTD-MONOMER	C0668
EG30050	b3174	3322072	3322158	leuU-tRNA	
EG10333	b4151	4379007	4379366	FUM-MEMB2	C5239
G7267	b2432	2550641	2551216	G7267-MONOMER	C2966
EG10259	b0596	628551	629297	ENTA-MONOMER	C0683
G7892	b4266	4492587	4493351	GLUCONREDUCT-MONOMER	C5367
EG30034	b4008	4209774	4209849	gltV-tRNA	
G6978	b1792	1876909	1877256	G6978-MONOMER	C2197
EG10536	b3454	3592724	3593437	LIVF-MONOMER	C4244
EG10263	b0594	626070	627680	ENTE-MONOMER	C0681
EG30016	b2348	2466309	2466383	argW-tRNA	
EG10330	b4154	4380510	4382318	FUM-FLAVO	C5242
G6633	b1248	1306821	1307150	G6633-MONOMER	C1712
EG10261	b0593	624885	626060	ENTC-MONOMER	C0680
G7336	b2542	2672047	2673249	HCAD-MONOMER	
G7069	b1984	2058027	2058102	RNA0-304	
G6216	b0364	384059	384616	G6216-MONOMER	C0470
EG12340	b0262	277756	278802	YAGC-MONOMER	
EG11105	b0597	629300	629713	EG11105-MONOMER	C0684
EG30106	b1231	1287538	1287622	tyrT-tRNA	
EG10232	b0894	940959	943403	DMSA-MONOMER	C1031
EG12374	b3362	3491453	3491620	EG12374-MONOMER	C4137
EG11673	b3058	3204221	3204589	H2NEOPTERINALDOL-MONOMER	C3808
G6714	b1393	1457497	1458264	G6714-MONOMER	C5023
EG30064	b4134	4362551	4362626	pheU-tRNA	
EG11763	b3596	3768177	3768638	EG11763-MONOMER	
G6270	b0496	520416	522830	YBBP-MONOMER	C0617
EG11374	b0142	157253	157732	H2PTERIDINEPYROPHOSPHOKIN-MONOMER	C0175
EG30047	b4369	4606200	4606286	leuP-tRNA	
EG11379	b0979	1039296	1040432	APPB-MONOMER	C1120
EG11136	b1862	1946251	1946853	EG11136-MONOMER	C2276
EG10682	b3360	3490266	3490829	PABASYN-COMPII-MONOMER	C4135
EG11402	b4239	4463054	4464709	TRE6PHYDRO-MONOMER	C5338
EG30031	b0664	696430	696504	glnX-tRNA	
G7667	b3207	3348452	3349084	G7667-MONOMER	C3967
G7889	b4262	4487318	4488400	G7889-MONOMER	C5363
EG50011	b3177	3324063	3324911	H2PTEROATESYNTH-MONOMER	C3933
EG30013	b2691	2817784	2817860	argQ-tRNA	
EG10644	b1465	1535937	1536617	NARV-MONOMER	C1897
G7200	b2325	2443891	2444169	G7200-MONOMER	C2871
EG11375	b2153	2242984	2243652	GTP-CYCLOHYDRO-I-MONOMER	C2688
EG11074	b3565	3729443	3730765	XYLISOM-MONOMER	C4385
G6392	b0749	781577	781652	RNA0-303	
G6929	b1724	1807400	1807690	G6929-MONOMER	C2123
EG10683	b1812	1894805	1896166	PABASYN-COMPI-MONOMER	C2217
EG30103	b3273	3423580	3423655	thrV-tRNA	
EG10173	b0733	771458	773026	CYDA-MONOMER	C0811
G6579	b1122	1181264	1181725	G6579-MONOMER	C1397
G7877	b4243	4470527	4470913	G7877-MONOMER	C5342
EG11493	b1096	1153300	1154109	ADCLY-MONOMER	C1366
EG10577	b4119	4341911	4343266	ALPHAGALACTOSID-MONOMER	C5124
EG30060	b2816	2947607	2947683	RNA0-306	
G6081	b0005	5234	5530	G6081-MONOMER	C0007
G7868	b4211	4433164	4434024	G7868-MONOMER	C5310
EG11138	b1865	1948180	1948632	H2NEOPTERINP3PYROPHOSPHOHYDRO-MONOMER	C2279
EG30044	b3277	3427076	3427152	ileU-tRNA	
EG12067	b2206	2300267	2302753	NAPA-MONOMER	C2745
EG12171	b4380	4615515	4617065	EG12171-MONOMER	C5463
G7740	b3397	3525589	3526149	G7740-MONOMER	C4167
EG11260	b3765	3948449	3949969	EG11260-MONOMER	C4687
EG10355	b2804	2938888	2939310	EG10355-MONOMER	C3374
EG30028	b0670	696865	696939	glnU-tRNA	
EG11695	b3675	3855608	3855970	EG11695-MONOMER	C4599
G7721	b3358	3486791	3488893	G7721-MONOMER	C4133
