GeneName	 Accession-1	 Left-End-Position	 Right-End-Position	Product	Map to Escherichia coli CFT073
G6989	b1803	1885845	1886810	G6989-MONOMER	
G7080	b2000	2071539	2074658	G7080-MONOMER	C3655
EG12134	b0813	849210	850097	EG12134-MONOMER	C0899
EG10281	b1187	1234938	1235657	PD01520	C1635
G7632	b3133	3280217	3280690	G7632-MONOMER	C3888
G7752	b3427	3563724	3564005	G7752-MONOMER	
EG11847	b3882	4072675	4073571	EG11847-MONOMER	C4826
EG10093	b3743	3926545	3927003	PD00250	C4671
G6902	b1674	1753851	1754477	G6902-MONOMER	C2068
G6686	b1362	1423345	1423644	G6686-MONOMER	
EG11873	b3915	4106469	4107371	YIIP-MONOMER	C4866
EG10530	b2568	2704335	2705309	EG10530-MONOMER	C3092
G7863	b4205	4427694	4428095	G7863-MONOMER	
EG12414	b2094	2174597	2175049	GATA-MONOMER	C2619
G6766	b1455	1526940	1527152	G6766-MONOMER	
EG10548	b0027	25207	25701	EG10548-MONOMER	C0031
EG10511	b3942	4133835	4136015	HYDROPEROXIDI-MONOMER	C4900
G7546	b2980	3128272	3129036	G7546-MONOMER	C3710
G6654	b1316	1377884	1380151	G6654-MONOMER	C1788
G6590	b1146	1203024	1203224	G6590-MONOMER	
EG11687	b3659	3836953	3838137	B3659-MONOMER	
EG10300	b2610	2746434	2747795	EG10300-MONOMER	C3131
G7088	b2015	2087329	2088258	G7088-MONOMER	C2542
G7249	b2386	2506647	2507894	MONOMER0-6	C2925
G6578	b1121	1180479	1181267	G6578-MONOMER	C1396
G7539	b2972	3113543	3114352	G7539-MONOMER	
G6811	b1525	1613315	1614703	G6811-MONOMER	C1948
G6789	b1499	1582926	1583687	G6789-MONOMER	C1928
G6401	b0771	803503	805764	G6401-MONOMER	C0848
G6310	b0555	577613	578110	G6310-MONOMER	C1562
EG11439	b2686	2812616	2814154	EMRB-MONOMER	C3239
EG10346	b3464	3602750	3604243	EG10346-MONOMER	C4257
G6420	b0817	853183	853650	G6420-MONOMER	C0903
EG11912	b3953	4147138	4147479	EG11912-MONOMER	C4912
G6185	b0320	336778	338325	G6185-MONOMER	C0441
EG11454	b3789	3973608	3974489	DTDPGLUCOSEPP2-MONOMER	C4709
G7758	b3441	3581138	3581626	G7758-MONOMER	
G6144	b0272	288404	289162	G6144-MONOMER	
G372	b4406	213925	214125	MONOMER0-741	C0228
G6149	b0278	293220	293918	G6149-MONOMER	
EG11076	b4031	4240779	4242254	XYLE-MONOMER	
EG11451	b3786	3970133	3971263	UDPGLCNACEPIM-MONOMER	C4706
EG12344	b1303	1366935	1367912	EG12344-MONOMER	C1773
EG10568	b1818	1903082	1903882	MANY-MONOMER	C2224
G0-10616	b4655	4506448	4506573	MONOMER0-2840	
EG10840	b3784	3967916	3969019	GLCNACPTRANS-MONOMER	C4704
G6487	b0947	1006491	1007600	G6487-MONOMER	C1083
EG12162	b4498			PD00338	
G0-10468	b4554	3776171	3776380	MONOMER0-2690	C4419
G6127	b0252	267184	268005	G6127-MONOMER	C3668
EG10629	b0543	568315	568647	EMRE-MONOMER	C2352
EG11486	b3792	3976278	3977528	EG11486-MONOMER	C4713
EG11861	b3897	4088107	4089855	EG11861-MONOMER	
EG11906	b3947	4139720	4142221	EG11906-MONOMER	C4906
EG12446	b2602	2741360	2741725	EG12446-MONOMER	C3123
EG11456	b3791	3975146	3976276	RFFTRANS-MONOMER	C4711
EG12137	b0192	215269	215979	EG12137-MONOMER	C0231
EG11594	b0629	660425	661378	EG11594-MONOMER	C0719
EG12254	b3527	3680444	3681940	EG12254-MONOMER	C4339
EG12364	b4271	4496750	4497940	EG12364-MONOMER	
EG10006	b4123	4347404	4348744	DCUB-MONOMER	C5128
EG11452	b3787	3971260	3972522	UDPMANNACADEHYDROG-MONOMER	C4707
EG11218	b4398	4636007	4636696	PHOSPHO-CREB // CREB-MONOMER	C5485
EG10336	b2167	2259719	2261410	FRUA-MONOMER	C2702
EG12023	b2141	2230624	2231022	EG12023-MONOMER	C2673
EG11457	b3793	3978601	3979953	FUC4NACTRANS-MONOMER	C4715
EG11310	b1407	1475144	1477450	EG11310-MONOMER	C0501
EG10845	b3783	3966417	3967676	EG10845-MONOMER	C4702
EG11760	b1457	1529922	1530404	EG11760-MONOMER	
EG11635	b0560	580834	581379	EG11635-MONOMER	C3174
G7833	b4141	4369156	4370412	B4141-MONOMER	C5224
EG11453	b3788	3972522	3973589	DTDPGLUCDEHYDRAT2-MONOMER	C4708
EG10667	b3982	4177743	4178288	EG10667-MONOMER	C4937
EG12766	b3135	3281122	3281625	AGAA-MONOMER	
EG11484	b3848	4032492	4033106	EG11484-MONOMER	C4795
EG11295	b3785	3969031	3970077	EG11295-MONOMER	C4705
G6634	b1266	1323220	1324101	G6634-MONOMER	C1731
EG10517	b0694	721056	721733	PHOSPHO-KDPE // KDPE-MONOMER	C0779
EG11163	b3036	3179596	3179856		C3782
G7918	b4308	4535015	4536031	G7918-MONOMER	
G7159	b2246	2358863	2360152	B2246-MONOMER	C2788
G7800	b4481	3977525	3978604	G7800-MONOMER	C4714
EG10385	b3868	4053869	4055278	PROTEIN-NRI	C4817
EG11792	b2933	3077471	3078859	CMTA-MONOMER	C3515
G7654	b3160	3303448	3304455	G7654-MONOMER	C3913
EG11458	b3794	3979956	3980696	UDPMANACATRANS-MONOMER	C4716
G7578	b3031	3175425	3176006	G7578-MONOMER	C3777
EG10061	b4401	4639590	4640306	PHOSPHO-ARCA // ARCA-MONOMER	C5488
G7527	b2951	3095098	3095802	G7527-MONOMER	C3537
G7373	b2638	2771840	2772154	G7373-MONOMER	
G6858	b1600	1673136	1673501	B1600-MONOMER	C1992
G7586	b3047	3189881	3190630	G7586-MONOMER	C3793
G7475	b2855	2994460	2994903	G7475-MONOMER	
EG10141	b1737	1819856	1821214	CELB-MONOMER	C2136
G7470	b2850	2990554	2991043	G7470-MONOMER	
G6293	b0533	562336	563319	G6293-MONOMER	C4207
G6183	b0318	335280	335885	G6183-MONOMER	C0439
G7057	b1969	2038152	2038823	MONOMER0-4341 // G7057-MONOMER	C2387
G7355	b2611	2747962	2748753	G7355-MONOMER	C3132
G7278	b2448	2563592	2563969	G7278-MONOMER	
G6347	b0621	654583	655968	DCUC-MONOMER	C0712
EG12143	b2207	2302750	2303013	NAPD-MONOMER	C2746
G6737	b1422	1494148	1495071	G6737-MONOMER	C1847
G7990	b2169	2262365	2263495	MONOMER0-4306 // FRUB-MONOMER	C2704
G7196	b2304	2421708	2422601	G7196-MONOMER	C2847
EG11881	b3931	4120416	4121747	EG11881-MONOMER	C4884
G6470	b0909	960264	961028	G6470-MONOMER	C1047
G6357	b0650	681723	683393	G6357-MONOMER	C2164
G7078	b1998	2070277	2070474		
G6836	b1578	1650881	1651537	G6836-MONOMER	
EG13159	b2406	2522729	2523985	XAPB-MONOMER	C2939
EG10757	b3363	3491725	3492297	EG10757-MONOMER	C4138
EG10626	b0099	111044	111433	EG10626-MONOMER	C0117
EG12495	b4195	4421708	4422172	YJFU-MONOMER	C5284
G7901	b4280	4505287	4506405	G7901-MONOMER	
EG10310	b4316	4544304	4545029	EG10310-MONOMER	C5395
EG10956	b1272	1329332	1330381	EG10956-MONOMER	C1737
EG11417	b4238	4460522	4462660	RIBONUCLEOSIDE-TRIP-REDUCT-MONOMER	C5337
G6974	b1788	1874078	1874182	G6974-MONOMER	C2193
G6820	b1546	1634310	1634885	G6820-MONOMER	C0649
EG12548	b4296	4520671	4522020	YJHF-MONOMER	
G7281	b2451	2565481	2566884	G7281-MONOMER	C2976
G0-8875	b4459	4277926	4278066	SRAL-RNA	
EG11709	b3682	3861987	3862472	GLVB-MONOMER	
G7722	b3369	3499448	3499615	G7722-MONOMER	C4145
G6242	b0441	461915	463786	G6242-MONOMER	C0557
G7533	b2963	3104433	3105512	G7533-MONOMER	C3551
G0-9388	b4691	4190327	4190487	RNA0-128	
G6898	b1670	1749563	1750348	G6898-MONOMER	C2064
G6683	b1359	1421119	1421976	G6683-MONOMER	
EG12266	b3539	3700563	3701834	YHJV-MONOMER	C4354
EG12130	b2526	2657085	2658935	EG12130-MONOMER	C3051
G0-8870	b4449	3311183	3311398	SRAG-RNA	
EG10086	b2715	2839524	2840981	ASCF-MONOMER	
G6757	b1446	1517648	1517881	G6757-MONOMER	C1871
EG11676	b3932	4121757	4122287	EG11676-MONOMER	C4885
EG10673	b0565	584680	585633	EG10673-MONOMER	C0652
G0-9383	b4763	686681	686843	RNA0-124	
G6642	b1295	1357423	1357668	G6642-MONOMER	C1772
G6587	b1143	1201497	1201838	G6587-MONOMER	
EG12032	b2164	2256085	2257335	YEIM-MONOMER	C2698
EG10674	b1243	1301182	1302813	OPPA-MONOMER	C1707
G0-8861		458728	458784	SRAA-RNA	
G7633	b3134	3280701	3281102	G7633-MONOMER	
G6513	b0992	1052289	1053362	G6513-MONOMER	C1127
G6939	b1743	1825140	1825625	G6939-MONOMER	C2143
EG11359	b3335	3465543	3466220	EG11359-MONOMER	C4106
G0-8905	b4435	2071317	2071511	IS102-RNA	
G6335	b0608	642088	643326	G6335-MONOMER	
G6307	b0551	573956	574339	G6307-MONOMER	C1559
EG11841	b3876	4064363	4065766	YIHO-MONOMER	
G198	b0424	443051	443641	HMP-KIN-MONOMER	C0535
G0-10609	b4624	4527977	4528066	RNA0-333	
EG12415	b2093	2174282	2174566	GATB-MONOMER	C2618
G6177	b0307	322338	323765	G6177-MONOMER	C0423
EG12057	b2199	2295583	2296320	CCMC-MONOMER	C2736
G6452	b0867	904913	905743	G6452-MONOMER	C1000
G0-8881	b4416	852725	853064	RYBA-RNA	
G0-8888	b4606	2590807	2590866	MONOMER0-762	
G6123	b0248	264748	265206	G6123-MONOMER	
EG11640	b1534	1621332	1622519	YDEF-MONOMER	C1962
EG11545	b1083	1140033	1140986	EG11545-MONOMER	C1352
EG12330	b0147	161501	162031	EG12330-MONOMER	C0180
G7250	b2387	2507916	2508242	G7250-MONOMER	C2926
G0-10603	b4612	3584404	3584559	MONOMER0-2826	
EG10600	b4142	4370688	4370981	EG10600-MONOMER	C5226
G7652	b3158	3301485	3302480	G7652-MONOMER	C3911
G0-8876	b4430	1764713	1764780	RYDB-RNA	
G0-10461	b4545	2476094	2476234	MONOMER0-2683	
EG12338	b0267	280829	281983	EG12338-MONOMER	C2473
EG11354	b2685	2811427	2812599	EG11354-MONOMER	C3238
EG10159	b0438	457426	458700	EG10159-MONOMER	C0554
G0-8871	b4450	3350577	3350697	SRAH-RNA	
EG10569	b1819	1903895	1904746	MANZ-MONOMER	C2226
EG12404	b1219	1273246	1273599	EG12404-MONOMER	C1679
G7866	b4209	4431321	4431983	G7866-MONOMER	C5308
G7410	b2701	2824491	2825576	G7410-MONOMER	C3255
G0-9384		1888017	1888102		
EG12214	b3468	3605751	3606377	EG12214-MONOMER	C4261
EG11303	b1576	1649794	1649985	EG11303-MONOMER	C1404
EG11021	b3849	4033145	4034596	TRKH-MONOMER	C4796
G6541	b1035	1099640	1100194	G6541-MONOMER	C1297
G0-8862	b4418	1146589	1146757	SRAB-RNA	
EG10187	b3607	3781741	3782562	SERINE-O-ACETTRAN-MONOMER	C4429
EG11985	b2032	2103391	2104509	EG11985-MONOMER	
EG12352	b3775	3959532	3959813	EG12352-MONOMER	C4697
G7248	b2385	2505547	2506632	G7248-MONOMER	C2924
G0-9381	b4762	75516	75608	RNA0-404	
EG11697	b3677	3856415	3856864	EG11697-MONOMER	
EG10779	b1307	1369393	1369614	EG10779-MONOMER	C1778
EG10526	b0343	361926	363179	LACY-MONOMER	C0458
EG12052	b2194	2291358	2292410	EG12052-MONOMER	C2731
G0-10695	b4701	2887353	2887411	RNA0-357	
EG10192	b2414	2532409	2533380	ACSERLYA-MONOMER	C2948
EG11395	b3964	4161771	4162130	EG11395-MONOMER	C4927
EG11297	b3860	4043418	4044044	MONOMER0-4152 // DISULFOXRED-MONOMER	C4804
G6622	b1193	1243180	1243791	G6622-MONOMER	C1643
G0-8883	b4433	1923104	1923207	RYEB-RNA	
EG11147	b2471	2591247	2591603	EG11147-MONOMER	C2998
G7369	b2634	2769703	2770404	G7369-MONOMER	C4566
EG10590	b3940	4129835	4132267	ASPKINIIHOMOSERDEHYDROGII-MONOMER	C4893
EG10485	b2728	2851864	2852136	EG10485-MONOMER	C3288
EG12879	b0528	556661	556873	EG12879-MONOMER	C0644
EG10193	b2421	2538672	2539583	ACSERLYB-MONOMER	C2955
G7645	b3151	3297098	3298138	G7645-MONOMER	C3905
EG10099	b3738	3921236	3922051	ATPB-MONOMER	C4666
EG11373	b2558	2695801	2697357	EG11373-MONOMER	C3081
G0-8879	b4440	2653855	2654158	RYFA-RNA	
G7514	b2902	3045158	3045901	G7514-MONOMER	
G7275	b2445	2561625	2561993	G7275-MONOMER	
EG10549	b2838	2977637	2978899	DIAMINOPIMDECARB-MONOMER	C3435
EG12195	b0998	1061799	1062398	EG12195-MONOMER	C1134
EG11235	b0797	830872	832236	EG11235-MONOMER	C0880
G7462	b2834	2971597	2972637	G7462-MONOMER	C3429
EG11967	b1082	1138378	1140021	EG11967-MONOMER	C1351
EG10246	b0211	232597	233955	EG10246-MONOMER	C0248
G0-8874	b4457	4051036	4051281	CSRC-RNA	
G7339	b2545	2674700	2675761	YPHC-MONOMER	C3067
G7219	b2350	2467855	2468217	G7219-MONOMER	
EG10207	b0166	185123	185947	MONOMER0-2001	C0201
EG11070	b2893	3038112	3038822	DSBC-MONOMER	C3473
G0-9385	b4761	2640595	2640686	RNA0-126	
EG10079	b0754	785633	786685	AROG-MONOMER	C0830
G7181	b2274	2388635	2389057	G7181-MONOMER	
EG10472	b0976	1036354	1036752	EG10472-MONOMER	C1117
EG10950	b4392	4630733	4632670	EG10950-MONOMER	C5479
G0-8865	b4432	1923066	1923337	RYEA-RNA	
G7051	b1963	2033119	2033421	G7051-MONOMER	C2382
G6833	b1566	1646405	1646737	G6833-MONOMER	
EG10066	b3359	3488960	3490180	ACETYLORNTRANSAM-MONOMER	C4134
G7638	b3143	3288090	3288785	G7638-MONOMER	
G0-9382	b4585	507204	507287	RNA0-123	
EG11271	b2598	2737599	2737646	EG11271-MONOMER	
G7884	b4253	4475437	4477251	G7884-MONOMER	
G6333	b0604	637827	638573	DSBG-MONOMER	C0692
G7457	b2813	2946081	2947178	G7457-MONOMER	C3384
G0-10696	b4690	272580	272654	RNA0-358	
G6960	b1773	1856933	1857769	G6960-MONOMER	C2177
G6698	b1375	1433991	1434224	G6698-MONOMER	
EG10998	b0002	337	2799	ASPKINIHOMOSERDEHYDROGI-MONOMER	C0003
EG12169	b2198	2295377	2295586	EG12169-MONOMER	C2735
					
EG12084	b2286	2402055	2403845	NUOC-MONOMER	C2827
G7694	b3263	3412621	3412800	G7694-MONOMER	C4029
EG11948	b4074	4291512	4293170	EG11948-MONOMER	C5070
G6662	b1326	1389870	1390598	G6662-MONOMER	
G0-10600	b4609	2734153	2734295	RNA0-331	
G6883	b1643	1721025	1721261	G6883-MONOMER	C2035
G6583	b1138	1197533	1198237	G6583-MONOMER	
EG10550	b4024	4231884	4233233	ASPKINIII-MONOMER	C4990
EG10758	b0525	553943	554437	EG10758-MONOMER	C0641
G0-8880	b4417	887979	888057	RYBB-RNA	
EG11774	b2284	2400218	2401555	NUOF-MONOMER	C2825
G6743	b1432	1503657	1504865	G6743-MONOMER	C3804
EG10416	b2614	2750115	2750708	EG10416-MONOMER	C3135
G6171	b0301	317726	318319	G6171-MONOMER	C0418
EG11554	b2669	2798091	2798495	EG11554-MONOMER	C3218
G6631	b1228	1286709	1286984	G6631-MONOMER	
G6304	b0548	572921	573091	G6304-MONOMER	
EG10208	b2472	2591607	2592734	MONOMER0-1981	C2999
G7284	b2454	2569501	2570337	G7284-MONOMER	C2979
EG10179	b0431	448650	450641	CYOB-MONOMER	C0542
G6499	b0965	1027946	1028359	G6499-MONOMER	C1102
G6268	b0492	517425	518279	G6268-MONOMER	C0613
EG12045	b2184	2280632	2282392	EG12045-MONOMER	C2721
G6253	b0458	478781	479251	G6253-MONOMER	C0576
G6140	b0268	282278	283186	G6140-MONOMER	C0761
EG10205	b2478	2598882	2599760	DIHYDRODIPICSYN-MONOMER	C3006
EG11803	b2992	3140311	3140799	EG11803-MONOMER	C3729
EG12092	b2278	2393205	2395046	NUOL-MONOMER	C2819
G6159	b0288	303853	304182	G6159-MONOMER	
EG10689	b2743	2868893	2869519	EG10689-MONOMER	C3310
G7323	b2520	2647326	2652287	G7323-MONOMER	C3043
G0-16675	b4689	1639080	1639334	MONOMER0-4369	
EG12155	b1352	1418008	1418229	EG12155-MONOMER	
EG10072	b2310	2427009	2427791	ARGT-MONOMER	
EG10248	b3544	3706098	3707705	DPPA-MONOMER	C4361
EG12089	b2281	2395908	2396450	NUOI-MONOMER	C2822
G0-10595	b4604	2303606	2303770	MONOMER0-2823	C2748
G7055	b1967	2035835	2036686	G7055-MONOMER	C2385
G6615	b1178	1227071	1227472	G6615-MONOMER	C1626
G0-10432	b4504	264026	264247	MONOMER0-2654	
EG11300	b1571	1648508	1648663	EG11300-MONOMER	C1409
EG11337	b2156	2247063	2248532	LYSP-MONOMER	C2691
G6104	b0220	240343	240816	G6104-MONOMER	C0370
G6862	b1606	1680976	1681698	G6862-MONOMER	C1998
EG12086	b2285	2401552	2402052	NUOE-MONOMER	C2826
EG12333	b0157	177001	177624	EG12333-MONOMER	C0193
EG12058	b2200	2296362	2297024	CCMB-MONOMER	C2737
G6173	b0303	318331	318567	G6173-MONOMER	C0419
EG11795	b2808	2941650	2942567	PD00339	C3378
EG12182	b0434	453589	454167	EG12182-MONOMER	C0546
EG10228	b1569	1647620	1647850	EG10228-MONOMER	
EG10209	b3809	3994762	3995586	DIAMINOPIMEPIM-MONOMER	C4730
EG11570	b0055	57364	58179	EG11570-MONOMER	C0068
EG10543	b0116	127912	129336	E3-MONOMER	C0145
EG12082	b2288	2404629	2405072	NUOA-MONOMER	C2829
EG11928	b4045	4259237	4259446	EG11928-MONOMER	C5016
EG10641	b1226	1285139	1285849	NARJ-MONOMER	C1687
G0-10716	b4706	2668006	2668071	MONOMER0-4224	
EG10328	b0529	556875	557741	FOLD-MONOMER	C0645
EG11677	b0760	792316	793788	MODF-MONOMER	C0836
G7899	b4277	4501260	4501589	G7899-MONOMER	C3658
EG10206	b0031	28374	29195	DIHYDROPICRED-MONOMER	C0037
EG10240	b0015	14168	15298	EG10240-MONOMER	C0020
EG11810	b2903	3046168	3049041	GCVP-MONOMER	C3483
EG10180	b0430	448046	448660	CYOC-MONOMER	C0541
EG11312	b3638	3811891	3812559	EG11312-MONOMER	C4462
G6562	b1070	1129414	1129830	G6562-MONOMER	C1339
G7564	b3011	3155355	3156518	G7564-MONOMER	C3745
EG11149	b2479	2599906	2600478	EG11149-MONOMER	C3007
EG11116	b1055	1116807	1117859	EG11116-MONOMER	C1321
G7272	b2442	2558858	2560066	G7272-MONOMER	
EG10088	b3433	3573775	3574878	ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER	C4220
EG12394	b1778	1862016	1862429	EG12394-MONOMER	C2183
EG10585	b3941	4132616	4133506	METHYLENETHFREDUCT-MONOMER	C4899
EG12093	b2276	2390048	2391505	NUON-MONOMER	C2817
G7606	b3087	3237311	3238297	G7606-MONOMER	C3845
EG12053	b2195	2292407	2292964	EG12053-MONOMER	C2732
EG12209	b0624	657555	657938	EG12209-MONOMER	C0715
EG10371	b2904	3049160	3049549	LIPOYL-GCVH // GCVH-MONOMER	C3484
G7505	b2886	3028524	3029012	G7505-MONOMER	C3463
G7101	b2056	2129661	2130878	G7101-MONOMER	C2582
EG11754	b0070	77621	78799	B0070-MONOMER	
EG11389	b1926	2005713	2006078	EG11389-MONOMER	C2341
EG10326	b0048	49823	50302	DIHYDROFOLATEREDUCT-MONOMER	C0058
EG12090	b2280	2395342	2395896	NUOJ-MONOMER	C2821
G7448	b2790	2922535	2922984	G7448-MONOMER	C3356
EG10593	b2150	2239350	2240348	MGLB-MONOMER	C2684
G7398	b2668	2797520	2798044	G7398-MONOMER	C3217
EG11819	b1232	1287782	1288624	FORMYLTHFDEFORMYL-MONOMER	C1696
G7318	b2510	2635599	2635814	G7318-MONOMER	C3032
G6830	b1559	1642489	1643241	G6830-MONOMER	C3186
G7806	b3836	4021945	4022214	TATA	C4785
EG10156	b0882	923264	925540	EG10156-MONOMER	C1019
EG11442	b2905	3049573	3050667	GCVT-MONOMER	C3485
EG12087	b2283	2397439	2400165	NUOG-MONOMER	C2824
G7174	b2267	2381082	2381543	G7174-MONOMER	C2811
G6386	b0717	748979	749707	G6386-MONOMER	
G6174	b0304	318676	320001	G6174-MONOMER	C0420
EG10408	b2551	2684254	2685507	GLYOHMETRANS-MONOMER	C3073
G7043	b4495	2011223	2012351	G7043-MONOMER	
G6695	b1372	1429049	1432411	G6695-MONOMER	C1591
EG11305	b0627	658947	659150	EG11305-MONOMER	C0717
EG12200	b2069	2147674	2149026	EG12200-MONOMER	C2596
EG10327	b2315	2431674	2432942	FOLC-MONOMER	C2860
EG12083	b2287	2403951	2404613	NUOB-MONOMER	C2828
G7862	b4204	4426628	4427422	G7862-MONOMER	
EG11973	b0140	155461	156201	EG11973-MONOMER	C0171
G7649	b3155	3299966	3300268	G7649-MONOMER	C3908
G6407	b0790	823736	824497	G6407-MONOMER	C0873
G6947	b1752	1834808	1835515	G6947-MONOMER	C2153
G6676	b1345	1412000	1413235	G6676-MONOMER	C1819
G7808	b3838	4022218	4022733	G7808-MONOMER	C4786
EG11080	b0028	25826	26275	EG11080-MONOMER	C0032
EG11481	b4483	4023554	4024336	EG11481-MONOMER	C4788
EG11773	b2277	2391512	2393041	NUOM-MONOMER	C2818
G7670	b3216	3362807	3365188	G7670-MONOMER	
EG10473	b0977	1036749	1037606	EG10473-MONOMER	C1118
EG11714	b3690	3869377	3870441	EG11714-MONOMER	C4611
EG11094	b0398	415750	416952	EG11094-MONOMER	C0506
G6815	b1541	1629215	1629418	G6815-MONOMER	C1967
G6317	b0563	582875	583060	G6317-MONOMER	C1475
EG11479	b3839	4022736	4023512	EG11479-MONOMER	C4787
G7716	b3347	3476607	3477419	G7716-MONOMER	C4121
EG10926	b2011	2082756	2084183	EG10926-MONOMER	C2539
EG10178	b0432	450663	451610	CYOA-MONOMER	C0543
G6792	b1502	1586820	1587734	G6792-MONOMER	C1931
G6353	b0646	677415	678842	G6353-MONOMER	C2163
EG11547	b1652	1728347	1728994	EG11547-MONOMER	C2045
G6730	b1411	1480909	1482201	G6730-MONOMER	C1837
G6134	b0259	274101	275081	G7769-MONOMER	
EG12193	b1000	1062855	1063775	EG12193-MONOMER	C1136
EG10651	b2159	2250840	2251697	EG10651-MONOMER	C2694
EG12091	b2279	2395043	2395345	NUOK-MONOMER	C2820
G6614	b1177	1226600	1226968	G6614-MONOMER	C1625
EG11949	b4075	4293163	4293546	EG11949-MONOMER	C5071
EG11072	b2509	2634232	2635602	EG11072-MONOMER	C3028
G6453	b0868	905740	906753	G6453-MONOMER	C1001
G0-10452	b4533	1636756	1636989	MONOMER0-2674	C1442
EG10985	b0053	53416	54702	EG10985-MONOMER	C0066
EG10927	b0397	412607	415753	EG10927-MONOMER	C0505
EG12088	b2282	2396465	2397442	NUOH-MONOMER	C2823
G6228	b0379	399025	399333	G6228-MONOMER	C0484
EG10455	b0178	200482	200967	EG10455-MONOMER	C0215
EG11915	b3998	4198790	4199461	EG11915-MONOMER	C4955
G6107	b0223	244327	245094	G6107-MONOMER	C0373
EG11120	b1156	1208517	1209119	EG11120-MONOMER	
EG11468	b3823	4007757	4008377	RHTC-MONOMER	C4745
G6291	b0531	558974	559666	G6291-MONOMER	
EG11336	b2945	3090347	3091054	EG11336-MONOMER	C3531
EG10707	b2599	2737745	2738905	CHORISMUTPREPHENDEHYDRAT-MONOMER	C3120
G0-10654	b4671	313141	313242	MONOMER0-2881	
EG11805	b2990	3139716	3139964	EG11805-MONOMER	C3727
EG11073	b1749	1832428	1833234	EG11073-MONOMER	C2150
G0-10589	b4593	1222990	1223163	MONOMER0-2818	C1618
G7380	b2645	2777115	2777432	G7380-MONOMER	
EG10999	b0003	2801	3733	HOMOSERKIN-MONOMER	C0004
EG10741	b4235	4457959	4459311	EG10741-MONOMER	C5333
EG10830	b2892	3036373	3038106	EG10830-MONOMER	C3472
EG11039	b2600	2738948	2740069	CHORISMUTPREPHENDEHYDROG-MONOMER	C3121
EG12707	b2749	2873014	2873337	EG12707-MONOMER	C3316
EG10284	b3891	4080299	4081228	EG10284-MONOMER	C4841
EG10565	b0403	422518	424332	MALTODEXGLUCOSID-MONOMER	C0513
EG10109	b0311	325577	327247	CHD-MONOMER	C0431
EG12295	b3611	3784584	3785015	EG12295-MONOMER	C4436
G7363	b2628	2763537	2765153	G7363-MONOMER	
EG12732	b3089	3239944	3241188	YGJU-MONOMER	C3847
G7207	b2336	2451584	2452336	G7207-MONOMER	C2882
EG10110	b0312	327261	328733	BADH-MONOMER	C0432
EG11096	b0407	427287	427619	EG11096-MONOMER	C0517
EG12120	b1234	1289245	1290150	EG12120-MONOMER	C1698
G6154	b0283	297770	298726	G6154-MONOMER	
EG12198	b1733	1816386	1817135	EG12198-MONOMER	C2132
EG10112	b0314	329463	331496	BETT-MONOMER	C0434
EG11833	b3862	4045670	4046602	EG11833-MONOMER	C4807
G7230	b2361	2474984	2475520	G7230-MONOMER	C3202
EG11000	b0004	3734	5020	THRESYN-MONOMER	C0005
EG12059	b2201	2297021	2297644	CCMA-MONOMER	C2738
G6303	b0547	572466	572921	G6303-MONOMER	
EG10938	b0408	427647	429494	SECD	C0518
EG11581	b0801	836351	837436	EG11581-MONOMER	C0885
EG11663	b3349	3477907	3478497	EG11663-MONOMER	C4123
EG11316	b3571	3737497	3739527	ALPHA-AMYL-PERI-MONOMER	C4392
EG11061	b4058	4271049	4273871	EG11061-MONOMER	C5048
EG11290	b2152	2241810	2242967	EG11290-MONOMER	C2687
G6827	b1554	1639524	1640057	G6827-MONOMER	C1436
EG10991	b3116	3263686	3265017	TDCC-MONOMER	C3874
EG10645	b1466	1536614	1537309	NARW-MONOMER	C1898
EG10736	b0708	739507	740925	EG10736-MONOMER	C0787
EG10766	b3300	3442766	3444097	SECY	C4061
EG11059	b2319	2435636	2436649	EG11059-MONOMER	C2864
EG10241	b0014	12163	14079	EG10241-MONOMER	C0019
EG10560	b3417	3550080	3552473	MALDEXPHOSPHORYL-MONOMER	C4194
EG11808	b1848	1930457	1930747	EG11808-MONOMER	C2260
G7580	b3033	3176858	3177280	G7580-MONOMER	C3779
G6692	b4570			G6692-MONOMER	
EG10729	b0241	259045	260100	MONOMER0-282	C0388
G6787	b1497	1579633	1580790	G6787-MONOMER	C1926
EG10625	b2733	2857093	2859654	EG10625-MONOMER	C3294
EG12095	b3175	3322173	3322505	SECG	C3931
G7489	b2870	3006262	3007452	G7489-MONOMER	C3448
EG12397	b0944	1003947	1004657	EG12397-MONOMER	C4208
EG12258	b3531	3689155	3690261	EG12258-MONOMER	C4343
G7117	b2080	2165189	2165521	G7117-MONOMER	C2606
G7440	b2774	2899488	2900273	G7440-MONOMER	C3332
G6597	b1153	1206913	1207497	G6597-MONOMER	
G7814	b3875	4063603	4064295	G7814-MONOMER	
EG12055	b2197	2294901	2295380	CCME-MONOMER	C2734
EG10533	b4043	4257115	4257723	PD00205	C5014
EG10939	b3981	4177358	4177741	SECE	C4936
G7269	b2434	2551713	2552138	G7269-MONOMER	C2968
EG11433	b4219	4441538	4442176	EG11433-MONOMER	C5317
EG11387	b1927	2006156	2007643	ALPHA-AMYL-CYTO-MONOMER	C2342
G6937	b1741	1823515	1824402	G6937-MONOMER	C2140
G7134	b2102	2182833	2183651	G7134-MONOMER	C2629
