Genes,GT,CF_labs
yhcM,1,1
yhcN,1,1
yhfM,1,1
yhfW,1,1
ylbB,1,1
ylbC,1,1
yphA,1,1
yqzG,1,1
ytfI,1,1
ywnJ,1,1
adhB,1,1
csgA,1,1
exoA,1,1
gdh,1,1
gerBA,1,1
gerBB,1,1
gerBC,1,1
gerD,1,1
gerKA,1,1
gerKB,1,1
gerKC,1,1
glcU,1,1
lysA,1,1
sleB,1,1
splB,1,1
spoVAB,1,1
spoVAC,1,1
spoVAD,1,1
spoVAF,1,1
sspA,1,1
sspB,1,1
sspC,1,1
sspD,1,1
sspF,1,1
sspH,1,1
sspI,1,1
sspJ,1,1
sspK,1,1
sspL,1,1
sspM,1,1
sspO,1,1
sspP,1,1
ybaK,1,1
ybxH,1,1
yckD,1,1
ydfR,1,1
ydfS,1,1
yfkD,1,1
yhcQ,1,1
yhcV,1,1
yisY,1,1
yitF,1,1
yitG,1,1
ylaJ,1,1
yndD,1,1
yndE,1,1
yndF,1,1
yozQ,1,1
ypzA,1,1
yqfU,1,1
yraD,1,1
yraE,1,1
yraF,1,1
yraG,1,1
yrrD,1,1
yteA,1,1
yuzA,1,1
yvdQ,1,1
yxeD,1,1
kinA,1,1
minC,1,1
minD,1,1
phrK,1,1
spo0M,1,1
spoVS,1,1
yqjL,1,1
ysxA,1,1
pspA,1,1
sppA,1,1
xpaC,1,1
yaaN,1,1
ybfO,1,1
ydbS,1,1
ydbT,1,1
ydjG,1,1
ydjH,1,1
ydjI,1,1
ydjO,1,1
ydjP,1,1
yeaA,1,1
yjoB,1,1
yoaF,1,1
yoaG,1,1
yobJ,1,1
yozO,1,1
yqfB,1,1
ysdB,1,1
yteJ,1,1
ythP,1,1
ythQ,1,1
yuaI,1,1
ywrE,1,1
pbpX,1,1
yrhH,1,1
ybgB,1,1
yxlC,0,1
yxlD,1,1
yxlE,1,1
yxlF,1,1
yxlG,1,1
epr,1,1
sipW,1,1
tasA,1,1
cotF,1,1
cotT,1,1
yitE,1,1
thiF,1,1
thiG,1,1
thiS,1,1
alsT,1,1
glnM,1,1
glnP,1,1
ykzB,1,1
yodF,1,1
yttA,1,1
ywdI,1,1
ywdJ,1,1
ywdK,1,1
ywlG,1,1
yycB,1,1
yycC,1,1
xkdE,1,1
xkdF,1,1
xkdG,1,1
xkdH,1,1
xkdI,1,1
xkdJ,1,1
xkdK,1,1
xkdM,1,1
xtmA,1,1
xtmB,1,1
xkdB,1,1
xkdC,1,1
xkdD,1,1
xtrA,1,1
wprA,1,1
yodS,1,1
pksM,1,1
ppsA,1,1
bioK,1,1
ldeHA,1,1
yqhH,1,1
sodF,1,1
pksN,1,1
ldeF,1,1
appF,1,1
yobW,1,1
ymaF,1,1
ctpB,1,1
citH,1,1
amiE,1,1
dpoL,1,1
yorI,1,1
slpS,1,1
eepC,1,1
ppsB,1,1
ydhUc,1,1
yonJ,1,1
ldeE,1,1
ytzH,1,1
sppO,1,1
rhgX,1,1
ldeJ,1,1
cotSA,1,1
uvsE,1,1
yodR,1,1
yomO,1,1
frlN,1,1
lgeHB,1,1
spaC,1,1
cotI,1,1
xkdU,1,1
aspP,1,1
yomE,1,1
conB,1,1
ykoT,1,1
spoVIF,1,1
yomM,1,1
yonG,1,1
rlbA,1,1
remB,1,1
yaaC,1,1
guaB,1,1
dacA,1,1
pdxS,1,1
pdxT,1,1
serS,0,1
dck,1,1
