"crp","fixB"
"crp","fixC"
"crp","fixX"
"crp","flhC"
"crp","flhD"
"crp","focA"
"crp","focB"
"crp","fucA"
"crp","fucI"
"crp","fucK"
"crp","fucO"
"crp","fucP"
"crp","fucR"
"crp","fucU"
"crp","fumA"
"crp","fumB"
"crp","fumC"
"crp","fur"
"crp","gabD"
"crp","gabP"
"crp","gabT"
"crp","gadA"
"crp","gadB"
"crp","gadC"
"crp","gadE"
"crp","gadX"
"crp","galE"
"crp","galK"
"crp","galM"
"crp","galP"
"crp","galS"
"crp","galT"
"crp","gatA"
"crp","gatB"
"crp","gatC"
"crp","gatD"
"crp","gatY"
"crp","gatZ"
"crp","gcd"
"crp","gcvH"
"crp","gcvP"
"crp","gcvT"
"crp","gdhA"
"crp","glcC"
"crp","glgA"
"crp","glgC"
"crp","glgP"
"crp","glgS"
"crp","glnA"
"crp","glnG"
"crp","glnL"
"crp","glpA"
"crp","glpB"
"crp","glpC"
"crp","glpD"
"crp","glpE"
"crp","glpF"
"crp","glpG"
"crp","glpK"
"crp","glpQ"
"crp","glpR"
"crp","glpT"
"crp","glpX"
"crp","gltA"
"crp","gltB"
"crp","gltD"
"crp","gltF"
"crp","gntK"
"crp","gntP"
"crp","gntT"
"crp","grcA"
"crp","grpE"
"crp","guaA"
"crp","guaB"
"crp","gutM"
"crp","gutQ"
"crp","gyrA"
"crp","hflC"
"crp","hflK"
"crp","hflX"
"crp","hfq"
"crp","hlyE"
"crp","hofB"
"crp","hofC"
"crp","hofM"
"crp","hofN"
"crp","hofO"
"crp","hofP"
"crp","hpt"
"crp","hupA"
"crp","hupB"
"crp","hyfA"
"crp","hyfB"
"crp","hyfC"
"crp","hyfD"
"crp","hyfE"
"crp","hyfF"
"crp","hyfG"
"crp","hyfH"
"crp","hyfI"
"crp","hyfJ"
"crp","hyfR"
"crp","idnD"
"crp","idnK"
"crp","idnO"
"crp","idnR"
"crp","idnT"
"crp","ilvB"
"crp","ilvN"
"crp","infB"
"crp","ivbL"
"crp","kbaZ"
"crp","lacA"
"crp","lacI"
"crp","lacZ"
"crp","lamB"
"crp","lpd"
"crp","lsrA"
