0.999999993486374+0i,0.899999992909909+0i,0.899999995599254+0i,0.999999993486374+0i,0.999999860967301+0i,0.999999984934881+0i,0.99999997955619+0i,0.911600089454159+0i,0.992185448664244+0i,0.91160014092569+0i,0.999999982293646+0i,0.999999984982991+0i,0.999999870380008+0i,0.999999862311973+0i
0.999999994044951+0i,0.89999999249146+0i,0.899999995339527+0i,0.999999994044951+0i,0.999999872651264+0i,0.999999986328251+0i,0.999999980632117+0i,0.91160008239983+0i,0.992185446937901+0i,0.911600136264351+0i,0.999999983322574+0i,0.99999998617064+0i,0.999999882619498+0i,0.999999874075297+0i
0.971403293766828+0i,0.863946461088426+0i,0.877621941365223+0i,0.971403293766828+0i,0.872502290305923+0i,0.977961447375745+0i,0.950610486819452+0i,0.818589331162395+0i,0.917886770963076+0i,0.829404998703085+0i,0.963216262194833+0i,0.976891742471534+0i,0.920366471274802+0i,0.879340030444027+0i
0.997053905564291+0i,0.897413632586039+0i,0.89839466850168+0i,0.997053905564289+0i,0.981853229575455+0i,0.99709993060685+0i,0.995137858775936+0i,0.898638495963933+0i,0.985909477418995+0i,0.901806210827325+0i,0.996249144549188+0i,0.99723018046697+0i,0.985286855268434+0i,0.982343747531932+0i
0.997948515382147+0i,0.897413345481837+0i,0.898394490299071+0i,0.997948515382147+0i,0.986195130998417+0i,0.997952770475789+0i,0.995990480842574+0i,0.898637800205275+0i,0.985908872125541+0i,0.901805587217868+0i,0.996915575000477+0i,0.997896719818361+0i,0.989629137858735+0i,0.986685703411981+0i
0.999999993877892+0i,0.89999999228082+0i,0.899999995208785+0i,0.999999993877892+0i,0.99999986980815+0i,0.999999986009077+0i,0.999999980153147+0i,0.911600079025189+0i,0.992185446094371+0i,0.911600134027433+0i,0.999999982919488+0i,0.999999985847453+0i,0.999999880056028+0i,0.999999871272133+0i
0.999999999999883+0i,0.899999999999853+0i,0.899999999999909+0i,0.999999999999883+0i,0.99999999999806+0i,0.999999999999781+0i,0.99999999999967+0i,0.911600237784636+0i,0.992185482040092+0i,0.911600237785405+0i,0.999999999999723+0i,0.999999999999779+0i,0.999999999998255+0i,0.999999999998088+0i
0.997948938108477+0i,0.897413878484599+0i,0.898394821128373+0i,0.997948938108477+0i,0.986196857335635+0i,0.997953084999191+0i,0.995991199711518+0i,0.8986389615669+0i,0.985909942192766+0i,0.901806669505799+0i,0.996916106509745+0i,0.997897049154486+0i,0.989630156588834+0i,0.986687328655726+0i
0.999999994089382+0i,0.899999992547481+0i,0.899999995374299+0i,0.999999994089382+0i,0.999999873437408+0i,0.999999986415727+0i,0.999999980762092+0i,0.911600083338194+0i,0.992185447168311+0i,0.91160013688458+0i,0.999999983432432+0i,0.99999998625925+0i,0.999999883331269+0i,0.999999874850817+0i
0.971406440234649+0i,0.863947250730641+0i,0.877622431487986+0i,0.971406440234649+0i,0.872510010723536+0i,0.977963444684563+0i,0.950613083173464+0i,0.818589039017927+0i,0.917887821026391+0i,0.829405396623656+0i,0.963218153617749+0i,0.976893334376052+0i,0.92037314337324+0i,0.879347601116877+0i
0.967161877328163+0i,0.863946441560182+0i,0.877621929244254+0i,0.967161877328163+0i,0.861436117047881+0i,0.974743871375413+0i,0.947392896007296+0i,0.818589375524402+0i,0.917886810179673+0i,0.829405002061314+0i,0.960891196476557+0i,0.974566684160697+0i,0.90930032394209+0i,0.868273860893718+0i
0.00241290849419029+0i,0.89740889742633+0i,0.898391729437032+0i,0.00241290849465384+0i,0.00689142940428365+0i,0.900338978561394+0i,0.898373314535871+0i,0.898628124159618+0i,0.985899908378577+0i,0.901796570322953+0i,0.903543233999419+0i,0.904526066009994+0i,0.0103313414396812+0i,0.00738284542601881+0i
0.999999993167347+0i,0.899999992418458+0i,0.899999995294215+0i,0.999999993167347+0i,0.999999855620459+0i,0.999999984341668+0i,0.999999978590154+0i,0.911600081162231+0i,0.992185446635877+0i,0.911600135446764+0i,0.999999981488759+0i,0.999999984364517+0i,0.99999986568561+0i,0.999999857058337+0i
1.00000000000001+0i,0.900000000000004+0i,0.900000000000002+0i,1.00000000000001+0i,0.99999999999989+0i,0.999999999999993+0i,0.999999999999996+0i,0.911600237786841+0i,0.992185482040667+0i,0.911600237786878+0i,0.999999999999994+0i,0.999999999999992+0i,0.999999999999885+0i,0.99999999999989+0i
0.999999999999928+0i,0.899999999999933+0i,0.899999999999959+0i,0.999999999999928+0i,0.999999999998516+0i,0.999999999999837+0i,0.999999999999786+0i,0.911600237785566+0i,0.992185482040362+0i,0.911600237786039+0i,0.999999999999814+0i,0.999999999999839+0i,0.999999999998605+0i,0.999999999998529+0i
1.76294740182727e-08+0i,0.899999981071531+0i,0.899999988251295+0i,1.76294740182727e-08+0i,5.69742521016715e-08+0i,0.911599924504212+0i,0.911599910144683+0i,0.911599911264946+0i,0.992185402894338+0i,0.911600022322602+0i,0.911600035661189+0i,0.911600042840953+0i,8.21034267438721e-08+0i,6.0564133184129e-08+0i
0.0335742450731345+0i,0.863949469917847+0i,0.877623808914524+0i,0.0335742450731345+0i,0.0727901585168441+0i,0.840025561717904+0i,0.81267688372441+0i,0.818588725429662+0i,0.917891642860021+0i,0.829406686652624+0i,0.851465652258031+0i,0.865139991254892+0i,0.120650345003844+0i,0.0796273280142692+0i
0.997948904779145+0i,0.897413836460663+0i,0.898394795044549+0i,0.997948904779145+0i,0.986196761435366+0i,0.997953068244765+0i,0.995991151075853+0i,0.89863892446245+0i,0.985909869340883+0i,0.901806617574526+0i,0.996916071017453+0i,0.997897029599637+0i,0.989630116471673+0i,0.986687240721548+0i
0.959421262775736+0i,0.863946824589156+0i,0.877622166986368+0i,0.959421262775736+0i,0.841668186480774+0i,0.969253943465153+0i,0.941903258667508+0i,0.818589273244044+0i,0.917887395961483+0i,0.829405210997291+0i,0.956889904475575+0i,0.970565246872522+0i,0.889531884874396+0i,0.848505857681194+0i
0.997496283300548+0i,0.89741533820908+0i,0.898395727164258+0i,0.997496283300548+0i,0.98398629040874+0i,0.997510095495271+0i,0.995549317586887+0i,0.898642192429953+0i,0.985912904664066+0i,0.901809660943175+0i,0.996572314786219+0i,0.997552703741432+0i,0.987417651744489+0i,0.984476485021917+0i
0.999999999999947+0i,0.899999999999997+0i,0.899999999999998+0i,0.999999999999947+0i,1.00000000000198+0i,1.00000000000017+0i,1.00000000000016+0i,0.911600237787044+0i,0.992185482040684+0i,0.911600237786999+0i,1.00000000000017+0i,1.00000000000017+0i,1.00000000000198+0i,1.00000000000198+0i
