12.3968782601547+0i,12.3999968979655+0i,6.17529567886831+0i,3.39967251966117+0i,2.7762114433975+0i,1.46811159602738+0i,1.93170889376326+0i,0.048358198468006+0i,0.0483608128796096+0i
288.544951855325+0i,288.531852856992+0i,142.540116212674+0i,80.8713183269426+0i,61.6715351317101+0i,34.2017321827035+0i,46.6710486392901+0i,2.70988358384835+0i,2.70993305833986+0i
-4.48757897529171e-12-5.19196812115014e-15i,-4.48771176700299e-12+1.75797048516088e-12i,-2.24385583986709e-12+8.78985353969064e-13i,-1.30466213269326e-12-4.81587692613613e-13i,-9.39249097899309e-13-3.46703406584648e-13i,-5.43643319485407e-13-2.00646574339095e-13i,-7.610509249686e-13-2.80886852683285e-13i,-7.0311449289076e-14-3.98300279798925e-37i,-7.03255143923638e-14+3.26656885418547e-26i
-4.07300953365412e-13-1.26671411465492e-16i,-4.07502111731314e-13+2.5660815427336e-15i,-2.03751055865233e-13+1.28304083872629e-15i,-9.61598003434372e-14+7.28701869471879e-17i,-1.07697582600741e-13+8.16135531671978e-17i,-5.06503564479731e-14+3.82340495494503e-17i,-4.55594497278388e-14+3.43911154925265e-17i,-1.33434176925941e-15+1.15030791919761e-37i,-1.33567744670228e-15-9.22875104307495e-29i
79.5957287419002+0i,79.592847899501+0i,39.5022079873614+0i,18.6007284288767+0i,20.9020997959659+0i,9.77100905307466+0i,8.8300848900885+0i,1.74382476339204+0i,1.74383857667792+0i
87.8250630525411+0i,87.8227479253707+0i,43.5771119704462+0i,14.663674516325+0i,28.9141441454919+0i,9.73758720942688+0i,4.92624655822586+0i,2.47151951153737+0i,2.47153479150314+0i
18.3723676285373+0i,18.3719304086201+0i,9.14933436731533+0i,4.73352870297771+0i,4.41601483382429+0i,2.25772309876282+0i,2.47586218899613+0i,0.290579006514958+0i,0.290582197458488+0i
126.876830789207+0i,126.872812703839+0i,62.8573244528378+0i,32.5190833972546+0i,30.339074635762+0i,15.5105607350681+0i,17.0089500063458+0i,1.98584001676375+0i,1.98586217170065+0i
0.000532480935233964+0i,0.000532497428362015+0i,0.000266248689355623+0i,8.82901960086518e-05+0i,0.000177971221822532+0i,5.88745362570661e-05+0i,2.94372141696299e-05+0i,1.16599501607176e-05+0i,1.16603069655528e-05+0i
0.000731189640052264+0i,0.000731183177284458+0i,0.000365591533507068+0i,0.000161779273606226+0i,0.000203817032636733+0i,8.98763085779898e-05+0i,7.19007226235565e-05+0i,1.14479043599447e-05+0i,1.14487098280698e-05+0i
57.5428558546539+0i,57.539094122031+0i,28.6547805370279+0i,8.39653013453369+0i,20.2594584601689+0i,5.96915320378418+0i,2.42733290575461+0i,1.25996359127076+0i,1.25997355584881+0i
470.978249409587+0i,471.159568612265+0i,222.344516754821+0i,108.116322467388+0i,114.241565630321+0i,51.6830813268681+0i,56.4390949034333+0i,17.2651864818098+0i,17.2659084373747+0i
0.00207801074263661+0i,0.0020780258338467+0i,0.00103901258831424+0i,0.000564716996453358+0i,0.000474305503976404+0i,0.000256695692304907+0i,0.000308030592247398+0i,6.53156165495749e-06+0i,6.53263968894682e-06+0i
991.120762112931+0i,991.409787628074+0i,473.700568130916+0i,220.032306388227+0i,253.684838480818+0i,113.436231314662+0i,106.597269718807+0i,33.8757335482847+0i,33.8759387830517+0i
108.211790412282+0i,108.210512519317+0i,53.6409417114884+0i,20.8006741451+0i,32.8405800316626+0i,12.8604892536286+0i,7.94030240334768+0i,1.01662327620305+0i,1.01664161850417+0i
631.746573152709+0i,631.749181166338+0i,312.798659502935+0i,124.285329903154+0i,188.514519518216+0i,79.6237758533605+0i,44.6617423988167+0i,1.97973534525992+0i,1.97984228969837+0i
1004.18584268838+0i,1004.61318828344+0i,483.882332456688+0i,219.233598460642+0i,264.648548381529+0i,117.827525437738+0i,101.406408607376+0i,33.8715454457884+0i,33.8717049274201+0i
