50.914932527576+0i,50.9149329529472+0i,4.92676418830699e-07+0i,4.92669173928159e-07+0i,25.5573242633171+0i,25.3576081686344+0i,13.2154846999547+0i,13.215484747804+0i,12.1421234045037+0i,12.1421234082251+0i,13.2154847528161+0i
26.4004991315927+0i,25.8925569713357+0i,0.516162201606163+0i,0.516162475973266+0i,12.8827187717779+0i,13.526044628151+0i,7.24268880615585+0i,7.24295743208318+0i,6.2831157645638+0i,6.28317046103974+0i,7.24302352135402+0i
20.9649129646886+0i,20.9358905049412+0i,0.029942357423808+0i,0.0299423765671892+0i,10.4947908013468+0i,10.4711438562854+0i,5.46843131839938+0i,5.46843481242553+0i,5.00271060192603+0i,5.00271098776438+0i,5.46843929052522+0i
16.009698361059+0i,15.9911603523678+0i,0.0228429621655213+0i,0.0228430989556875+0i,8.01605732813058+0i,7.99795581938376+0i,4.176830225201+0i,4.17683132324372+0i,3.82112593046214+0i,3.82112999732574+0i,4.17684666673167+0i
45.8987617854801+0i,45.898763110188+0i,3.89663873523296e-07+0i,3.89638023198256e-07+0i,23.0394017927028+0i,22.8593616533711+0i,11.9134873791871+0i,11.9134873770564+0i,10.945874276478+0i,10.9458742819346+0i,11.9134873874675+0i
50.9951254718599+0i,50.9951254719236+0i,-1.86217268219839e-13+0i,-1.86198666634972e-13+0i,25.5975791067834+0i,25.3975463651372+0i,13.236298804335+0i,13.2362988757084+0i,12.1612474894288+0i,12.1612474894288+0i,13.2362988759122+0i
16.0106112482367+0i,15.9923712444217+0i,0.0228441996361453+0i,0.0228441779291708+0i,8.01661765018014+0i,7.9985141610872+0i,4.17712096834443+0i,4.17712471022885+0i,3.82139465856414+0i,3.82140036625276+0i,4.17714094733705+0i
45.9679717076248+0i,45.9679730372524+0i,4.2967419863433e-07+0i,4.29677103676794e-07+0i,23.0741415936413+0i,22.8938301181596+0i,11.9314510689016+0i,11.931451142317+0i,10.9623789902963+0i,10.962378988186+0i,11.9314511401911+0i
31.4806991064139+0i,30.8750879031987+0i,0.615453267121895+0i,0.615445717251256+0i,15.3615919942024+0i,16.1286760280302+0i,8.63624568562791+0i,8.63660400463976+0i,7.49209824839583+0i,7.49218012257638+0i,8.63668497619879+0i
31.468759266092+0i,30.8604078129237+0i,0.615218416346441+0i,0.61522060073629+0i,15.3544448087083+0i,16.1212214666117+0i,8.63221242893992+0i,8.63263315792954+0i,7.48861529999996+0i,7.48868497712518+0i,8.63270196435607+0i
0.978457395507881+0i,0.974615546252205+0i,0.00807059746746252+0i,0.00808224278994419+0i,0.0845864549615617+0i,0.898156397523248+0i,0.092049839001094+0i,0.469100063037154+0i,0.42914132205797+0i,0.429237062245814+0i,0.0920649970999562+0i
40.8711525558481+0i,40.871153049038+0i,3.98550258246271e-07+0i,3.98568644269202e-07+0i,20.5157359848853+0i,20.3554170747278+0i,10.6085203849421+0i,10.6085204208536+0i,9.74689665266315+0i,9.74689665763874+0i,10.6085204272244+0i
20.9167298939955+0i,20.9167298940804+0i,-1.7958879948255e-13+0i,-1.79586295332904e-13+0i,10.4993887781234+0i,10.4173411159541+0i,5.42914790422029+0i,5.42914809637862+0i,4.98819301957545+0i,4.98819301957544+0i,5.4291480974263+0i
