4.92043381380586e-08+0i,2.03817471053483e-07+0i,2.03817471053483e-07+0i,1.85307930838761e-07+0i,0.899999998317315+0i,0.911600184985464+0i,0.911600166475924+0i,0.911600215834697+0i,0+0i,1.79486448618615e-08+0i,5.49677248979715e-08+0i,1.18120644771615e-08+0i,7.43316967364729e-08+0i,3.73126167094378e-08+0i
0.999999996215928+0i,0.999999924165713+0i,0.999999924165713+0i,0.999999914559992+0i,0.899999999126753+0i,0.911600208376152+0i,0.91160019877043+0i,0.911600224385687+0i,0+0i,9.31466592267133e-09+0i,2.8525513857386e-08+0i,0.999999972114279+0i,0.999999530129986+0i,0.999999510918544+0i
0.999999996068937+0i,0.999999921853044+0i,0.999999921853044+0i,0.999999911874192+0i,0.899999999092832+0i,0.911600207389962+0i,0.911600197411111+0i,0.911600224021381+0i,0+0i,9.6764620958256e-09+0i,2.96336896878359e-08+0i,0.999999970030701+0i,0.999999499947126+0i,0.999999479989423+0i
0.991920206403156+0i,0.951937917875923+0i,0.951937917875923+0i,0.931427672591927+0i,0.898135432246882+0i,0.87691562179243+0i,0.856405376509715+0i,0.9110993639331+0i,0+0i,0.0198887227015691+0i,0.0609092135268456+0i,0.936196444133032+0i,0.825566579325543+0i,0.784546088756972+0i
0.99941899743384+0i,0.995231503864097+0i,0.995231503864097+0i,0.9937566511946+0i,0.899865922484732+0i,0.908782277005042+0i,0.907307424336761+0i,0.911240364784993+0i,0+0i,0.00143016016303621+0i,0.00437986428950987+0i,0.994896899634592+0i,0.974529149547718+0i,0.971579444211838+0i
0.999419695495401+0i,0.995235421968811+0i,0.995235421968811+0i,0.993762341306032+0i,0.899866083575862+0i,0.908785216220026+0i,0.907312135552462+0i,0.911240350662589+0i,0+0i,0.00142844190786938+0i,0.00437460460802699+0i,0.996473534164357+0i,0.982278212123609+0i,0.979332050792555+0i
0.999999996551084+0i,0.999999929662709+0i,0.999999929662709+0i,0.999999920907769+0i,0.899999999204096+0i,0.911600210679719+0i,0.911600201924779+0i,0.911600225271285+0i,0+0i,8.48963778365526e-09+0i,2.59978053541924e-08+0i,0.999999975042346+0i,0.999999570600634+0i,0.999999553090754+0i
1+0i,1.00000000000004+0i,1.00000000000004+0i,1.00000000000004+0i,0.9+0i,0.911600237786944+0i,0.911600237786948+0i,0.911600237786938+0i,0+0i,-3.65166800741307e-15+0i,-1.11821109397058e-14+0i,1.00000000000001+0i,1.0000000000002+0i,1.00000000000021+0i
0.999419707967242+0i,0.995235492800906+0i,0.995235492800906+0i,0.993762443792409+0i,0.899866086453979+0i,0.908785268896216+0i,0.907312219891393+0i,0.91124035057313+0i,0+0i,0.00142841112875618+0i,0.0043745098049406+0i,0.996473609954782+0i,0.982278405762923+0i,0.979332307750436+0i
0.999999996202676+0i,0.999999924102899+0i,0.999999924102899+0i,0.999999914463539+0i,0.899999999123695+0i,0.911600208323149+0i,0.911600198683789+0i,0.91160022438875+0i,0+0i,9.34725136316366e-09+0i,2.86261284030788e-08+0i,0.999999974927423+0i,0.999999578709598+0i,0.999999559430877+0i
