"Gene","Cell_Growth"
"nrfB",0.794
"phnJ",0.831
"phnD",0.602
"adiC",0.801
"adiA",0.717
"fumB",0.86
"dcuA",0.647
"ulaB",0.71
"ulaF",0.493
"ytfE",0.655
"mpl",0.75
"treC",0.433
"fecE",0.805
"uxuA",0.657
"fhuF",0.762
"deoB",0.789
"murD",0
"ftsW",0
"fhuD",0.822
"dapD",0
"lpxD",0
"lpxA",0
"metI",0.77
"fadE",0.75
"phoE",0.752
"prpD",0.762
"cynX",0.691
"cyoE",0.505
"hemH",0
"allA",0.757
"entF",0.811
"entB",0.694
"dsbG",0.854
"gltK",0.701
"gltA",0.841
"sdhB",0.33
"moaA",0.911
"moaD",0.855
"fiu",0.764
"potG",0.487
"cydD",0.608
"pflB",0.817
"serC",0.725
"aroA",0.394
"ssuA",0.811
"ndh",0.779
"hemA",0
"narK",0.764
"oppC",0.74
"oppD",0.671
"tonB",0.841
"ribA",0
"puuD",0.774
"paaD",0.779
"tam",0.706
"ynfE",0.687
"sodB",0.741
"sufC",0.754
"katE",0.808
"chbF",0.761
"chbC",0.707
"astE",0.886
"sdaA",0.785
"manX",0.71
"znuC",0.781
"araF",0.892
"gnd",0.781
"gnd",0.781
"wbbK",0.771
"cdd",0.752
"mglC",0.79
"fruK",0.794
"ubiG",0.274
"nuoE",0.395
"fabB",0
"dsdA",0.788
"glk",0.906
"ptsI",0.681
"cysW",0.672
"cysP",0.746
"amiA",0.823
"hemF",0.804
"hyfA",0.679
"hyfF",0.725
"uraA",0.751
"aroF",0.729
"gabD",0.79
"gabP",0.685
"srlA",0.681
"srlD",0.695
"gcvH",0.643
"argO",0.723
"ansB",0.594
"metC",0.729
"dkgA",0.852
"tolC",0.782
"tdcE",0.781
"garK",0.813
"metB",0.768
"glpK",0.771
"cyaA",0.324
"ilvA",0.751
"rbsK",0.596
"pstS",0.636
"pstC",0.658
"uhpT",0.819
"sgbU",0.803
"yiaO",0.657
"xylH",0.753
"livK",0.778
"gntK",0.739
"lamB",0.804
"actP",0.768
"fdhF",0.678
"phnM",0.716
"aspA",0.36
"frdC",0.849
"frdA",0.8
"nrdG",0.778
"fecB",0.749
"pdxA",0.709
"araB",0
"setA",0.695
"ilvI",0.765
"murE",0
"murF",0
"aroP",0.806
"aceF",0.771
"acnB",0.704
"hemL",0
"argF",0.757
"betA",0.818
"betT",0.82
"prpB",0.8
"codB",0.712
"codA",0.778
"cynS",0.807
"lacZ",0
"mhpA",0.878
"mhpE",0.796
"tauC",0.731
"phoA",0.808
"cyoC",0.705
"acrB",0.791
"allB",0.761
"cusC",0.779
"ybdG",0.816
"entD",0
"fepA",0.826
"fes",0.409
"entA",0.791
"gltL",0.757
"gltI",0.717
"nagA",0.752
"nagE",0.722
"sdhA",0.434
"mngA",0.736
"mngB",0.815
"cydB",0.525
"aroG",0.467
"galM",0.788
"modA",0.874
"bioA",0.733
"bioB",0.861
"bioC",0.802
"bioD",0.792
"moaC",0.82
"potH",0.769
"artM",0.72
"dmsA",0.703
"dmsC",0.801
"aspC",0.614
"ssuE",0.473
"torC",0.704
"wrbA",0.766
"dadA",0.688
"dhaK",0.804
"oppF",0.776
"trpB",0.454
"feaB",0.768
"paaC",0.771
"paaG",0.808
"paaI",0.733
"paaK",0.72
"lsrD",0.432
"lsrF",0.749
"ydeA",0.714
"sufE",0.787
"sufB",0.759
"astD",0.821
"araG",0.699
"shiA",0.676
"amn",0.771
"wbbI",0.753
"gatB",0.783
"gatY",0.791
"ccmB",0.833
"napB",0.762
"atoA",0.772
"nrdB",0
"glpB",0.781
"glpC",0.806
"nuoH",0.567
"nuoF",0.498
