209.109209042944+0i,17.1613285045551+0i,191.942473194924+0i,191.936696554567+0i,92.6994067084648+0i,116.399745507868+0i,62.3302556779746+0i,62.3304097894238+0i,54.0693824260277+0i,54.0693670840949+0i,62.3304059955272+0i
187.950409032961+0i,1.01689485945678+0i,186.925813529211+0i,186.82702787661+0i,89.0356520732208+0i,98.808343091401+0i,51.6019764982087+0i,51.6019828421276+0i,47.2063597915128+0i,47.2063546841271+0i,51.6019794503695+0i
143.265391717063+0i,0.774994126514708+0i,142.457350537395+0i,142.380055885409+0i,67.8537290970149+0i,75.3014696571963+0i,39.3256760988954+0i,39.3256785491077+0i,35.9757884116393+0i,35.9757716558316+0i,39.3256687783393+0i
419.239773557053+0i,1.32275756285017e-05+0i,419.239538384671+0i,419.101308939701+0i,200.680576761674+0i,218.420782966579+0i,113.833153649389+0i,113.833154832021+0i,104.587629275142+0i,104.587629061988+0i,113.833153671328+0i
464.911895323894+0i,3.81970716162166e-12+0i,464.911464580333+0i,464.814833241339+0i,222.569858819144+0i,242.244981414578+0i,126.249478256328+0i,126.249477695844+0i,115.995502828057+0i,115.995503241062+0i,126.249478210062+0i
143.26400443097+0i,0.775007771359418+0i,142.458478755212+0i,142.389496566703+0i,67.8582868048892+0i,75.3065338141789+0i,39.3283142363005+0i,39.3283280221701+0i,35.978210818381+0i,35.978192823902+0i,39.328315216998+0i
419.305671435169+0i,1.32181130975001e-05+0i,419.305396135208+0i,419.189157583839+0i,200.722682805922+0i,218.466611169847+0i,113.857038402441+0i,113.857038203852+0i,104.609572842577+0i,104.609572706768+0i,113.857038375063+0i
249.329869991398+0i,20.4618211170867+0i,228.857222499458+0i,228.85229978175+0i,110.527813841175+0i,138.786321493033+0i,74.3180743105691+0i,74.318069964091+0i,64.4682465532996+0i,64.4682210333768+0i,74.3180723400553+0i
249.308742782974+0i,20.4607335367263+0i,228.844756569435+0i,228.839054364619+0i,110.521948376156+0i,138.778949030032+0i,74.3139681352056+0i,74.3141393488952+0i,64.4648322878315+0i,64.4648079303132+0i,74.3141526927869+0i
48.4501246824954+0i,0.262240634796302+0i,48.2035424934624+0i,48.218183686465+0i,22.979274319098+0i,25.5015222159547+0i,0.506144958139082+0i,13.3180233997298+0i,12.1835497051835+0i,12.1836556575916+0i,0.50615385756102+0i
373.633473986013+0i,1.15962750658926e-05+0i,373.633257569589+0i,373.498925523023+0i,178.844553091821+0i,194.654449177773+0i,101.446985248227+0i,101.446985503304+0i,93.2074643099544+0i,93.2074636954722+0i,101.446985299442+0i
